ts_ns,bid,ask,bid_sz,ask_sz,mid,spread,microprice
1756086289800000000,,113061.1,,0.1001,113061.1,,
1756086289850000000,,113061.1,,0.1001,113061.1,,
1756086289900000000,,113061.1,,0.1001,113061.1,,
1756086289950000000,,113061.1,,0.1001,113061.1,,
1756086290000000000,,113061.1,,0.1001,113061.1,,
1756086290050000000,,113061.1,,0.1001,113061.1,,
1756086290100000000,,113061.1,,0.1001,113061.1,,
1756086290150000000,,113061.1,,0.1001,113061.1,,
1756086290200000000,,113061.1,,0.1001,113061.1,,
1756086290250000000,,113061.1,,0.1001,113061.1,,
1756086290300000000,,113061.1,,0.1001,113061.1,,
1756086290350000000,,113061.1,,0.1001,113061.1,,
1756086290400000000,,113061.1,,0.1001,113061.1,,
1756086290450000000,,113061.1,,0.1001,113061.1,,
1756086290500000000,,113061.09,,0.00101,113061.09,,
1756086290550000000,,113061.09,,0.00101,113061.09,,
1756086290600000000,,113061.08,,0.1001,113061.08,,
1756086290650000000,,113061.08,,0.1001,113061.08,,
1756086290700000000,,113061.08,,0.1001,113061.08,,
1756086290750000000,,113061.08,,0.1001,113061.08,,
1756086290800000000,,113061.08,,0.1001,113061.08,,
1756086290850000000,,113061.08,,0.1001,113061.08,,
1756086290900000000,,113061.08,,0.1001,113061.08,,
1756086290950000000,,113061.08,,0.1001,113061.08,,
1756086291000000000,,113061.07,,0.00111,113061.07,,
1756086291050000000,,113061.07,,0.00111,113061.07,,
1756086291100000000,,113061.06,,0.1001,113061.06,,
1756086291150000000,,113061.06,,0.1001,113061.06,,
1756086291200000000,,113061.06,,0.1001,113061.06,,
1756086291250000000,,113061.06,,0.1001,113061.06,,
1756086291300000000,,113061.06,,0.1001,113061.06,,
1756086291350000000,,113061.06,,0.1001,113061.06,,
1756086291400000000,,113061.06,,0.1001,113061.06,,
1756086291450000000,,113061.06,,0.1001,113061.06,,
1756086291500000000,,113061.06,,0.1001,113061.06,,
1756086291550000000,,113061.06,,0.1001,113061.06,,
1756086291600000000,,113061.06,,0.1001,113061.06,,
1756086291650000000,,113061.06,,0.1001,113061.06,,
1756086291700000000,,113061.06,,0.1001,113061.06,,
1756086291750000000,,113061.06,,0.1001,113061.06,,
1756086291800000000,,113061.06,,0.1001,113061.06,,
1756086291850000000,,113061.06,,0.1001,113061.06,,
1756086291900000000,,113061.05,,0.04201,113061.05,,
1756086291950000000,,113061.05,,0.04201,113061.05,,
1756086292000000000,,113061.04,,0.71188,113061.04,,
1756086292050000000,,113061.04,,0.71188,113061.04,,
1756086292100000000,,113061.04,,0.71188,113061.04,,
1756086292150000000,,113061.04,,0.71188,113061.04,,
1756086292200000000,,113061.04,,0.71188,113061.04,,
1756086292250000000,,113061.04,,0.71188,113061.04,,
1756086292300000000,112418.53,113061.03,0.1224,0.21741,112739.78,642.5,112649.959328
1756086292350000000,112418.53,113061.03,0.1224,0.21741,112739.78,642.5,112649.959328
1756086292400000000,112418.54,113061.02,0.09997,0.71188,112739.78,642.48,112497.65403
1756086292450000000,112418.54,113061.02,0.09997,0.71188,112739.78,642.48,112497.65403
1756086292500000000,112418.54,113061.02,0.09997,0.71188,112739.78,642.48,112497.65403
1756086292550000000,112418.54,113061.02,0.09997,0.71188,112739.78,642.48,112497.65403
1756086292600000000,112418.54,113061.02,0.09997,0.71188,112739.78,642.48,112497.65403
1756086292650000000,112418.54,113061.02,0.09997,0.71188,112739.78,642.48,112497.65403
1756086292700000000,112418.54,113061.02,0.09997,0.71188,112739.78,642.48,112497.65403
1756086292750000000,112418.54,113061.02,0.09997,0.71188,112739.78,642.48,112497.65403
1756086292800000000,112418.54,113061.02,0.09997,0.71188,112739.78,642.48,112497.65403
1756086292850000000,112418.54,113061.02,0.09997,0.71188,112739.78,642.48,112497.65403
1756086292900000000,112418.54,113061.01,0.09997,0.04201,112739.775,642.47,112870.911643
