,system_time,midpoint,spread,buys,sells,bids_distance_0,bids_distance_1,bids_distance_2,bids_distance_3,bids_distance_4,bids_distance_5,bids_distance_6,bids_distance_7,bids_distance_8,bids_distance_9,bids_distance_10,bids_distance_11,bids_distance_12,bids_distance_13,bids_distance_14,bids_notional_0,bids_notional_1,bids_notional_2,bids_notional_3,bids_notional_4,bids_notional_5,bids_notional_6,bids_notional_7,bids_notional_8,bids_notional_9,bids_notional_10,bids_notional_11,bids_notional_12,bids_notional_13,bids_notional_14,bids_cancel_notional_0,bids_cancel_notional_1,bids_cancel_notional_2,bids_cancel_notional_3,bids_cancel_notional_4,bids_cancel_notional_5,bids_cancel_notional_6,bids_cancel_notional_7,bids_cancel_notional_8,bids_cancel_notional_9,bids_cancel_notional_10,bids_cancel_notional_11,bids_cancel_notional_12,bids_cancel_notional_13,bids_cancel_notional_14,bids_limit_notional_0,bids_limit_notional_1,bids_limit_notional_2,bids_limit_notional_3,bids_limit_notional_4,bids_limit_notional_5,bids_limit_notional_6,bids_limit_notional_7,bids_limit_notional_8,bids_limit_notional_9,bids_limit_notional_10,bids_limit_notional_11,bids_limit_notional_12,bids_limit_notional_13,bids_limit_notional_14,bids_market_notional_0,bids_market_notional_1,bids_market_notional_2,bids_market_notional_3,bids_market_notional_4,bids_market_notional_5,bids_market_notional_6,bids_market_notional_7,bids_market_notional_8,bids_market_notional_9,bids_market_notional_10,bids_market_notional_11,bids_market_notional_12,bids_market_notional_13,bids_market_notional_14,asks_distance_0,asks_distance_1,asks_distance_2,asks_distance_3,asks_distance_4,asks_distance_5,asks_distance_6,asks_distance_7,asks_distance_8,asks_distance_9,asks_distance_10,asks_distance_11,asks_distance_12,asks_distance_13,asks_distance_14,asks_notional_0,asks_notional_1,asks_notional_2,asks_notional_3,asks_notional_4,asks_notional_5,asks_notional_6,asks_notional_7,asks_notional_8,asks_notional_9,asks_notional_10,asks_notional_11,asks_notional_12,asks_notional_13,asks_notional_14,asks_cancel_notional_0,asks_cancel_notional_1,asks_cancel_notional_2,asks_cancel_notional_3,asks_cancel_notional_4,asks_cancel_notional_5,asks_cancel_notional_6,asks_cancel_notional_7,asks_cancel_notional_8,asks_cancel_notional_9,asks_cancel_notional_10,asks_cancel_notional_11,asks_cancel_notional_12,asks_cancel_notional_13,asks_cancel_notional_14,asks_limit_notional_0,asks_limit_notional_1,asks_limit_notional_2,asks_limit_notional_3,asks_limit_notional_4,asks_limit_notional_5,asks_limit_notional_6,asks_limit_notional_7,asks_limit_notional_8,asks_limit_notional_9,asks_limit_notional_10,asks_limit_notional_11,asks_limit_notional_12,asks_limit_notional_13,asks_limit_notional_14,asks_market_notional_0,asks_market_notional_1,asks_market_notional_2,asks_market_notional_3,asks_market_notional_4,asks_market_notional_5,asks_market_notional_6,asks_market_notional_7,asks_market_notional_8,asks_market_notional_9,asks_market_notional_10,asks_market_notional_11,asks_market_notional_12,asks_market_notional_13,asks_market_notional_14
0,2021-04-07 11:33:41.122161+00:00,55896.285,0.01,4448599.182456281,3899402.119931151,-8.94513831894983e-08,-6.485225458163768e-05,-7.290287612704559e-05,-0.0001544825354358,-0.0001621753617655,-0.0001623542630113,-0.000242144888034,-0.0002709482505451,-0.0002913431671913,-0.0003289127489551,-0.0004183641285635,-0.0004811589897144,-0.0004902830114588,-0.0005215909914113,-0.0005668534431606,714.9099731445312,107.68000030517578,8942.75,819.3099975585938,5190.990234375,8383.080078125,9947.1298828125,497.510009765625,5.5900001525878915,8381.6796875,8380.9296875,2793.469970703125,25414.75,8380.0703125,4998.740234375,0.0,0.0,0.0,0.0,0.0,0.0,5190.009765625,1267.18994140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,714.9099731445312,107.68000030517578,8942.75,819.3099975585938,5190.990234375,8383.080078125,15137.1396484375,1764.699951171875,5.5900001525878915,8381.6796875,8380.9296875,2793.469970703125,25414.75,8380.0703125,4998.740234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.94513831894983e-08,2.6835414246306765e-07,6.556786684086545e-05,6.646238034591079e-05,8.041679393500091e-05,8.059569518081844e-05,0.0001099357468774,0.00012424797751,0.0001840014883782,0.0002661178587004,0.0002662967599462,0.0004267725453246,0.00047686533071099996,0.0004770442319568,0.0004772231332026,773.4500122070312,1185.0,8849.91015625,2795.0,99068.0390625,559.010009765625,916.7999877929688,916.8099975585938,1118.1300048828123,19568.91015625,64.01999664306639,66986.7421875,87239.7890625,86063.0703125,501.2799987792969,0.0,0.0,0.0,1045403.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,923.239990234375,1185.0,1185.0,8849.91015625,1048198.6875,99068.0390625,559.010009765625,916.7999877929688,916.8099975585938,1118.1300048828123,19568.91015625,64.01999664306639,66986.7421875,87239.7890625,87239.796875,1424.52001953125,411.5499877929688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1176.72998046875,0.0
1,2021-04-07 11:34:41.122161+00:00,55948.685,1.43,1243243.9553593742,3606502.2378910687,-1.2779567441612015e-05,-1.2958303159393836e-05,-0.0002415606431895,-0.0002417393698124,-0.0002585404727142,-0.0002587192284408,-0.000263545080088,-0.0004360245366115,-0.0004580089880619,-0.0004581877146847,-0.0005130594363436,-0.0005239622551016,-0.0006085040513426,-0.0007107405690476,-0.0007109193247742,2797.39990234375,5702.669921875,5168.93994140625,1120.31005859375,497.9800109863281,29138.640625,498.9200134277344,2324.75,6151.8701171875,459.3399963378906,5592.0,55.91999816894531,132853.1875,28540.66015625,8386.33984375,0.0,0.0,2796.760009765625,11317.7802734375,23001.759765625,11070.01953125,26188.26953125,0.0,0.0,1194.1600341796875,0.0,0.0,0.0,5736.2001953125,0.0,2797.39990234375,5702.669921875,7965.7001953125,12438.08984375,23499.740234375,40208.66015625,26687.189453125,2324.75,6151.8701171875,1692.97998046875,5592.0,55.91999816894531,132853.1875,36245.69140625,8386.33984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1968.8399658203125,0.0,1.2779567441612015e-05,1.2958303159393836e-05,1.706921284494456e-05,1.724794856272638e-05,2.118012162100058e-05,2.1358857338782397e-05,2.243126982648392e-05,2.3324944777414206e-05,2.3503680495196022e-05,8.105641609290615e-05,0.000130744811031,0.000139860305353,0.0001877613394754,0.0001933021267177,0.0002018814266193,6982.2001953125,19582.2890625,2193.22998046875,345.3800048828125,2803.090087890625,108.0,16467.4609375,2293.949951171875,2185474.75,11.1899995803833,279780.0,108.0199966430664,2238.3701171875,64.06999969482422,67034.4609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31993.080078125,4775368.5,0.0,0.0,0.0,0.0,0.0,0.0,8392.41015625,19582.2890625,2193.22998046875,0.0,2803.090087890625,108.0,16467.4609375,34287.03125,4754057.5,11.1899995803833,279780.0,108.0199966430664,2238.3701171875,0.0,67034.4609375,1410.2099609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2021-04-07 11:35:41.122161+00:00,56013.785,0.01,3069093.6728917067,1575759.3929470934,-8.926374306383877e-08,-8.658583283249754e-06,-7.02505640219897e-05,-8.756772876949981e-05,-0.00017308240057900003,-0.0001770099916029,-0.000244136332185,-0.0002730577834881,-0.00038303071050899997,-0.000383209233405,-0.0004048110567964,-0.0004722944577224,-0.0004731871013063,-0.00048746928223400004,-0.0005017514922656,95037.171875,5276.81005859375,2998.340087890625,2800.43994140625,2998.18994140625,5168.7998046875,1120.0,2997.889892578125,27996.169921875,223.97000122070312,2911.5400390625,8398.099609375,918.1900024414062,918.1799926757812,918.1699829101562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3316.93994140625,19695.2890625,0.0,0.0,0.0,0.0,0.0,95037.171875,8402.0,2998.340087890625,2800.43994140625,2998.18994140625,5168.7998046875,1120.0,2997.889892578125,31313.109375,19919.25,2911.5400390625,8398.099609375,918.1900024414062,918.1799926757812,918.1699829101562,0.0,3125.18994140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.926374306383877e-08,2.6779122208608896e-07,2.2315934984362684e-06,0.0003887435887008,0.00048550550127399996,0.0005894085043109,0.0006758157978765,0.0006759943207725,0.0006795648369006,0.0006920617888681,0.0007745414623059,0.0007747199852019,0.0007907874532975,0.0008079261169768,0.0008325629169121,3.0399999618530287,442.510009765625,106799.9921875,2285.93994140625,8406.150390625,2251.949951171875,2802.580078125,20003.830078125,87440.890625,2802.6298828125,225.75,87449.203125,2214.610107421875,19620.66015625,61.66999816894531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26510.55078125,0.0,0.0,0.0,0.0,2479.409912109375,442.510009765625,106799.9921875,2285.93994140625,8406.150390625,2251.949951171875,2802.580078125,20003.830078125,87440.890625,2802.6298828125,26736.2890625,87449.203125,2214.610107421875,19620.66015625,61.66999816894531,2476.3701171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2021-04-07 11:36:41.122161+00:00,55903.575,7.17,1220818.6098738438,1321486.8054569992,-6.412827497115359e-05,-0.0001818309538066,-0.0001882706128526,-0.0002249408862553,-0.0003102663904428,-0.0003143806243315,-0.0003165271773468,-0.0003811026399489,-0.0004306522314436,-0.0004705423489212,-0.0005599820869974,-0.0005605187034234,-0.000600408820901,-0.0006005876930429999,-0.0006494217668659,722.719970703125,714.8800048828125,8383.9599609375,22.36000061035156,22.350000381469727,32333.8203125,1117.719970703125,8382.33984375,1040.9200439453123,8381.58984375,8380.83984375,33.52000045776367,5168.72998046875,5.5900001525878915,8380.08984375,12426.01953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13148.740234375,714.8800048828125,8383.9599609375,22.36000061035156,22.350000381469727,32333.8203125,1117.719970703125,8382.33984375,1040.9200439453123,8381.58984375,8380.83984375,33.52000045776367,5168.72998046875,5.5900001525878915,8380.08984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.412827497115359e-05,7.199897663667798e-05,9.704209514893593e-05,0.0001957835484063,0.0002494473883416,0.0002496262604836,0.0003571327833924,0.0003832491929642,0.0004698268312495,0.0005052449414506,0.0005220596212893,0.0005358333582989,0.0005404842086136,0.0005438829539343,0.0005440618260763,1530200.0,2747.60009765625,279366.5,86667.5078125,19571.130859375,82198.7734375,2484.139892578125,279625.0,2241.0,19991.91015625,64.04000091552734,107.9800033569336,2796.68994140625,2796.699951171875,67003.328125,0.0,0.0,0.0,0.0,0.0,0.0,715.260009765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1530346.25,2795.3798828125,279366.5,86667.5078125,19571.130859375,82198.7734375,3511.43994140625,279625.0,2241.0,19991.91015625,64.04000091552734,107.9800033569336,2796.68994140625,2796.699951171875,67003.328125,146.2100067138672,47.77999877929688,0.0,0.0,0.0,0.0,312.0400085449219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2021-04-07 11:37:41.122161+00:00,55899.995,0.01,2011286.7171372275,3083005.0913830423,-8.944544305222736e-08,-0.0001294275571126,-0.0001296064583584,-0.0001426654926035,-0.000200626134756,-0.0002008050214499,-0.0002403399121249,-0.0002707513631321,-0.0003866726765409,-0.0003986583615187,-0.0004242397553753,-0.0005879249074496,-0.0005881038377992,-0.0006290698074735,-0.0007272809161804,18997.9296875,746.0499877929688,1117.8599853515623,2794.60009765625,14100.3203125,5588.8798828125,187.22000122070312,27942.4296875,13969.58984375,3362.449951171875,27044.119140625,2793.360107421875,25698.880859375,2793.239990234375,500.0,1309.9100341796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624.530029296875,0.0,0.0,0.0,0.0,0.0,0.0,20307.83984375,746.0499877929688,1117.8599853515623,2794.60009765625,14100.3203125,5588.8798828125,187.22000122070312,27942.4296875,14594.1201171875,3362.449951171875,27044.119140625,2793.360107421875,25698.880859375,2793.239990234375,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.944544305222736e-08,3.300536991446279e-05,0.0002775492321234,0.0003453488752711,0.0003643113013822,0.0004211986088193,0.0005000894889235,0.0005734347505494,0.0005736136226914,0.0005861360114067,0.0005920394323766,0.0005999106215313,0.0006376566016115,0.0007047406979836,0.0007872093701735,1098659.25,345.2200012207031,107.75,581.5599975585938,283.8299865722656,2484.139892578125,2164.22998046875,19576.220703125,67001.0234375,64.04000091552734,126.38999938964844,107.9800033569336,64.04000091552734,86.58999633789062,2237.760009765625,1107645.375,0.0,0.0,26445.349609375,0.0,0.0,0.0,0.0,0.0,52903.421875,105807.46875,52904.1484375,0.0,26454.849609375,777499.625,2208291.0,345.2200012207031,107.75,27026.91015625,283.8299865722656,0.0,2164.22998046875,19576.220703125,67001.0234375,52967.4609375,105933.8671875,53012.140625,64.04000091552734,26541.439453125,777499.625,1986.449951171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2021-04-07 11:38:41.122161+00:00,56100.175,0.37,2453270.24482742,1085658.18590054,-3.29767249240831e-06,-3.4759250411298126e-06,-3.654177589851315e-06,-6.978587771300226e-05,-0.0001022278447635,-0.0002184485201723,-0.0002216570574091,-0.0003236175398342,-0.0003237957716919,-0.0003239740326534,-0.0003346691955812,-0.0003940273018088,-0.000394383794628,-0.0004282517766114,-0.0004476813192013,9414.150390625,999.1500244140624,999.1500244140624,5293.52978515625,505.25,560.8800048828125,999.1799926757812,1379.6300048828125,19628.69921875,1121.6400146484377,3364.8798828125,16381.6904296875,22431.220703125,2803.81005859375,9743.08984375,1380.0699462890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16438.0390625,999.1500244140624,999.1500244140624,5293.52978515625,505.25,560.8800048828125,999.1799926757812,1379.6300048828125,19628.69921875,1121.6400146484377,3364.8798828125,16381.6904296875,22431.220703125,2803.81005859375,9743.08984375,5643.81982421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.29767249240831e-06,0.0001967017014976,0.0003694284241646,0.00039616631693199995,0.0004453640431165,0.0004603372362907,0.0004605154972523,0.0004968790453858,0.0005419769440777,0.0005494635552167,0.0005656845169141,0.000581192492973,0.0005965221789665,0.0005967004690319,0.0006147039821371,2805.02001953125,128.35000610351562,17397.48046875,346.07000732421875,3367.510009765625,19644.099609375,108.22000122070312,2806.39990234375,67238.8203125,280655.0,108.04000091552734,346.2099914550781,16111.66015625,108.23999786376952,5173.39013671875,0.0,17394.48046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2805.02001953125,17522.8203125,17397.48046875,346.07000732421875,3367.510009765625,19644.099609375,108.22000122070312,2806.39990234375,67238.8203125,280655.0,108.04000091552734,346.2099914550781,16111.66015625,108.23999786376952,5173.39013671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2021-04-07 11:39:41.122161+00:00,56098.205,3.59,1046330.2336305492,616441.5780202069,-3.199745697202161e-05,-0.0002696164592634,-0.0002785294200293,-0.0002822728420142,-0.0003148942196276,-0.0003175681049469,-0.0003245201951358,-0.0004031323187518,-0.0004033105797134,-0.0004036671016365,-0.0004074105527251,-0.0004263059818185,-0.0005232787807472,-0.0005320134805515,-0.0005965431337244,8478.6103515625,13097.0498046875,1835.18994140625,28041.189453125,2615.31005859375,8412.0595703125,1391.81005859375,5168.81005859375,19626.44921875,189.94000244140625,1739.25,1121.489990234375,2286.25,2803.419921875,919.4600219726562,171094.046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5283.68994140625,0.0,0.0,0.0,0.0,179572.65625,13097.0498046875,1835.18994140625,28041.189453125,2615.31005859375,8412.0595703125,1391.81005859375,5168.81005859375,19626.44921875,189.94000244140625,7022.93994140625,1121.489990234375,2286.25,2803.419921875,919.4600219726562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.199745697202161e-05,0.0002049085160251,0.0002050867769867,0.0002318256010767,0.000249473232543,0.0003186376416124,0.0004608882009051,0.0005002833786419999,0.0005320134805515,0.0005418176879175,0.0005443133413791,0.0005667739314958,0.0005952953360974,0.0006008213385939,0.0006134777213446,324953.125,16282.8603515625,17394.009765625,61.72000122070313,420.1300048828125,19640.630859375,67231.0078125,2454.570068359375,2806.39990234375,2728.909912109375,27424.5,280650.0,11.229999542236328,108.04000091552734,4939.669921875,781380.6875,0.0,0.0,0.0,17394.779296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26545.890625,0.0,1122093.875,16282.8603515625,17394.009765625,61.72000122070313,17814.91015625,19640.630859375,67231.0078125,2454.570068359375,2806.39990234375,2728.909912109375,27424.5,280650.0,11.229999542236328,26545.890625,4939.669921875,15760.01953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2021-04-07 11:40:41.122161+00:00,56113.395,0.01,1714847.475032175,665602.022618143,-8.910528492833691e-08,-1.0959949577227237e-05,-0.0001342816685792,-0.0001433704019291,-0.0001469346170779,-0.0001472910371376,-0.0002385348489042,-0.0002387130516581,-0.0002394258917775,-0.0002686524239834,-0.0003025124315172,-0.0003598962503019,-0.0003743312845472,-0.0003807468747254,-0.00038110330933699996,717.6900024414062,8416.919921875,17392.8203125,4451.02001953125,4451.009765625,453.9200134277344,3629.919921875,11476.3798828125,31.03000068664551,33.65999984741211,646.75,919.9299926757812,919.9199829101562,1121.8399658203123,2804.60009765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1391.81005859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.6900024414062,8416.919921875,17392.8203125,4451.02001953125,4451.009765625,453.9200134277344,3629.919921875,12868.1904296875,31.03000068664551,33.65999984741211,646.75,919.9299926757812,919.9199829101562,1121.8399658203123,2804.60009765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.910528492833691e-08,0.0002959186385851,0.0003522331826388,0.0003787865571212,0.0004682482685893,0.0004684264713432,0.0004686047032009,0.0004689611087087,0.0004839308094233,0.0005060288822278,0.0005673333653248,0.0005994112580083,0.00062667747261,0.0006576860905624,0.0006724775885231,19898.240234375,139317.515625,17401.279296875,30003.3203125,5081.47021484375,77251.5390625,8420.9501953125,81167.1875,2807.030029296875,5614.18017578125,2211.530029296875,50016.5703125,561.489990234375,1123.010009765625,2807.56005859375,0.0,0.0,0.0,0.0,2806.97998046875,0.0,0.0,5081.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19994.640625,139317.515625,17401.279296875,30003.3203125,7888.4501953125,78897.59375,8420.9501953125,86248.4375,2807.030029296875,5614.18017578125,2211.530029296875,50016.5703125,561.489990234375,1123.010009765625,2807.56005859375,96.41000366210938,0.0,0.0,0.0,0.0,1646.050048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2021-04-07 11:41:41.122161+00:00,56191.33,9.86,1887890.3041206696,179883.63406194164,-8.773595618549734e-05,-0.0001238625263795,-0.0001573196495883,-0.0001751159870764,-0.0001815226714825,-0.0001861497148638,-0.0001964715920621,-0.0002091069909511,-0.0002872329205274,-0.0003457828715909,-0.0003461388114374,-0.0004224851145409,-0.000469467457151,-0.000495983986184,-0.0004961619270034,142.39999389648438,64.23000335693361,2247.300048828125,718.5599975585938,2209.77001953125,718.5499877929688,3932.6201171875,995.7899780273438,3746.22998046875,2808.60009765625,109806.7421875,2283.22998046875,2170.14990234375,19657.2109375,4942.3798828125,0.0,0.0,0.0,2247.260009765625,0.0,0.0,0.0,0.0,0.0,0.0,64.20999908447266,0.0,0.0,0.0,0.0,142.39999389648438,64.23000335693361,2247.300048828125,2965.820068359375,2209.77001953125,718.5499877929688,3932.6201171875,995.7899780273438,3746.22998046875,2808.60009765625,112407.96875,2283.22998046875,2170.14990234375,19657.2109375,4942.3798828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2537.02001953125,0.0,0.0,0.0,0.0,8.773595618549734e-05,8.791391883278267e-05,9.876968397293241e-05,9.894764662021772e-05,0.0001082017479347,0.000108379710582,0.0001393453421769,0.0001715567195788,0.0001722685701679,0.0001802769256755,0.0001950478908838,0.0002315303863724,0.0002366913249716,0.0002368692803429,0.00024327596474900003,1719.949951171875,102440.8828125,5081.5,90356.1171875,77383.859375,15234.8798828125,561.989990234375,2330.22998046875,1124.02001953125,1686.0400390625,8430.33984375,84598.7734375,1000.0,250.1000061035156,83893.6171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4650.8798828125,0.0,0.0,0.0,0.0,0.0,2210.360107421875,103176.3828125,5081.5,93393.4375,77383.859375,67436.8984375,561.989990234375,2330.22998046875,1124.02001953125,6336.93017578125,8430.33984375,84598.7734375,1000.0,0.0,83893.6171875,490.4100036621094,735.510009765625,0.0,3037.320068359375,0.0,52202.01953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2021-04-07 11:42:41.122161+00:00,56111.655,0.01,3193035.26797955,2472761.858634558,-8.910804893957902e-08,-0.0001011376371025,-0.0002069979964289,-0.0002077108511002,-0.0002082455030176,-0.0002301660861121,-0.000344046158716,-0.0003820061974693,-0.0003859269490931,-0.0004249562625773,-0.0004853715363424,-0.0004855497390963,-0.00048572797095399996,-0.0004905398236587,-0.0005372324376367,8416.75,5335.56982421875,1376.68994140625,16830.0,2945.25,56.099998474121094,4767.85009765625,16396.720703125,149.25,2804.389892578125,5076.75,11447.7099609375,1043.260009765625,348.7300109863281,29264.2109375,0.0,0.0,0.0,0.0,0.0,58546.41015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8416.75,22570.720703125,1376.68994140625,16830.0,2945.25,58546.41015625,4767.85009765625,16396.720703125,149.25,2804.389892578125,5076.75,11447.7099609375,1043.260009765625,348.7300109863281,29264.2109375,0.0,17235.16015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.910804893957902e-08,5.658360896632075e-05,8.099921251414345e-05,8.349424024345353e-05,0.0001469391718273,0.0001742062304401,0.0002649182279128,0.00027489833883,0.0003433333185967,0.0003435115213505,0.0003711350145749,0.0003787983150687,0.0003864615864586,0.0004153326153755,0.0004593519843183,21074.419921875,5000.509765625,17396.01953125,56116.33984375,86424.6484375,32752.470703125,86434.84375,64.19000244140625,5081.39013671875,53802.08984375,2806.6201171875,19998.8203125,19646.669921875,1122.699951171875,5613.740234375,77995.2109375,0.0,0.0,0.0,1013.1699829101562,0.0,2054.22998046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99069.6171875,5000.509765625,17396.01953125,56116.33984375,87927.140625,32752.470703125,88489.0703125,64.19000244140625,5081.39013671875,53802.08984375,2806.6201171875,19998.8203125,19646.669921875,1122.699951171875,5613.740234375,0.0,0.0,0.0,0.0,489.3200073242188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
