ts_ns,px,qty
1756086290464999936,9.223372036854776e+18,0.1
1756086290464999936,9.223372036854776e+18,0.1
1756086290564999936,9.223372036854776e+18,0.1
1756086290564999936,9.223372036854776e+18,0.1
1756086290664999936,9.223372036854776e+18,0.1
1756086290664999936,9.223372036854776e+18,0.1
1756086290964999936,9.223372036854776e+18,0.1
1756086290964999936,9.223372036854776e+18,0.1
1756086291064999936,9.223372036854776e+18,0.1
1756086291064999936,9.223372036854776e+18,0.1
1756086291164999936,9.223372036854776e+18,0.1
1756086291164999936,9.223372036854776e+18,0.1
1756086291164999936,9.223372036854776e+18,0.1
1756086291164999936,9.223372036854776e+18,0.1
1756086291865999872,9.223372036854776e+18,0.1
1756086291865999872,9.223372036854776e+18,0.1
1756086291865999872,9.223372036854776e+18,0.1
1756086292265999872,9.223372036854776e+18,0.1
1756086292265999872,9.223372036854776e+18,0.1
1756086292265999872,9.223372036854776e+18,0.1
1756086292265999872,9.223372036854776e+18,0.1
1756086292867000064,9.223372036854776e+18,0.1
1756086292867000064,9.223372036854776e+18,0.1
1756086292867000064,9.223372036854776e+18,0.1
1756086292867000064,9.223372036854776e+18,0.1
1756086292967000064,9.223372036854776e+18,0.1
1756086292967000064,9.223372036854776e+18,0.1
1756086292967000064,9.223372036854776e+18,0.1
1756086292967000064,9.223372036854776e+18,0.1
1756086293067000064,9.223372036854776e+18,0.1
1756086293067000064,9.223372036854776e+18,0.1
1756086293067000064,9.223372036854776e+18,0.1
1756086293467000064,9.223372036854776e+18,0.1
1756086293467000064,9.223372036854776e+18,0.1
1756086293467000064,9.223372036854776e+18,0.1
1756086293667000064,9.223372036854776e+18,0.1
1756086293667000064,9.223372036854776e+18,0.1
1756086293667000064,9.223372036854776e+18,0.1
1756086293767000064,9.223372036854776e+18,0.1
1756086293867000064,9.223372036854776e+18,0.1
1756086293967000064,9.223372036854776e+18,0.1
1756086293967000064,9.223372036854776e+18,0.1
1756086294068000000,9.223372036854776e+18,0.1
1756086294068000000,9.223372036854776e+18,0.1
1756086294068000000,9.223372036854776e+18,0.1
1756086294068000000,9.223372036854776e+18,0.1
1756086294068000000,9.223372036854776e+18,0.1
1756086294068000000,9.223372036854776e+18,0.1
1756086294968000000,9.223372036854776e+18,0.1
1756086294968000000,9.223372036854776e+18,0.1
