ts_ns,bid_px,bid_qty,ask_px,ask_qty
1756090800211000000,-9223372036854775808,0,9223372036854775807,0
1756090800311000000,-9223372036854775808,0,9223372036854775807,0
1756090800311000000,-9223372036854775808,0,9223372036854775807,0
1756090800412000000,-9223372036854775808,0,9223372036854775807,0
1756090801813000000,-9223372036854775808,0,9223372036854775807,0
1756090801813000000,-9223372036854775808,0,9223372036854775807,0
1756090801913000000,-9223372036854775808,0,9223372036854775807,0
1756090801913000000,-9223372036854775808,0,9223372036854775807,0
1756090802113000000,-9223372036854775808,0,9223372036854775807,0
1756090802213000000,-9223372036854775808,0,9223372036854775807,0
1756090802313000000,-9223372036854775808,0,9223372036854775807,0
1756090802313000000,-9223372036854775808,0,9223372036854775807,0
1756090802313000000,-9223372036854775808,0,9223372036854775807,0
1756090802413000000,-9223372036854775808,0,9223372036854775807,0
1756090802413000000,-9223372036854775808,0,9223372036854775807,0
1756090802713000000,-9223372036854775808,0,9223372036854775807,0
1756090802813000000,-9223372036854775808,0,9223372036854775807,0
1756090802813000000,-9223372036854775808,0,9223372036854775807,0
1756090802813000000,-9223372036854775808,0,9223372036854775807,0
1756090802813000000,-9223372036854775808,0,9223372036854775807,0
1756090802813000000,-9223372036854775808,0,9223372036854775807,0
1756090802813000000,-9223372036854775808,0,9223372036854775807,0
1756090802813000000,-9223372036854775808,0,9223372036854775807,0
1756090802913000000,-9223372036854775808,0,9223372036854775807,0
1756090802913000000,-9223372036854775808,0,9223372036854775807,0
1756090802913000000,-9223372036854775808,0,9223372036854775807,0
1756090802913000000,-9223372036854775808,0,9223372036854775807,0
1756090802913000000,-9223372036854775808,0,9223372036854775807,0
1756090802913000000,-9223372036854775808,0,9223372036854775807,0
1756090803214000000,-9223372036854775808,0,9223372036854775807,0
1756090803814000000,-9223372036854775808,0,9223372036854775807,0
1756090803814000000,-9223372036854775808,0,9223372036854775807,0
1756090803914000000,-9223372036854775808,0,9223372036854775807,0
1756090803914000000,-9223372036854775808,0,9223372036854775807,0
1756090804014000000,-9223372036854775808,0,9223372036854775807,0
1756090804014000000,-9223372036854775808,0,9223372036854775807,0
1756090804114000000,-9223372036854775808,0,9223372036854775807,0
1756090804615000000,-9223372036854775808,0,9223372036854775807,0
1756090804715000000,-9223372036854775808,0,9223372036854775807,0
1756090804715000000,-9223372036854775808,0,9223372036854775807,0
1756090804815000000,-9223372036854775808,0,9223372036854775807,0
1756090805215000000,-9223372036854775808,0,9223372036854775807,0
1756090805315000000,-9223372036854775808,0,9223372036854775807,0
1756090805315000000,-9223372036854775808,0,9223372036854775807,0
1756090805315000000,-9223372036854775808,0,9223372036854775807,0
1756090806116000000,-9223372036854775808,0,9223372036854775807,0
1756090806116000000,-9223372036854775808,0,9223372036854775807,0
1756090806316000000,-9223372036854775808,0,9223372036854775807,0
1756090806416000000,-9223372036854775808,0,9223372036854775807,0
1756090806416000000,-9223372036854775808,0,9223372036854775807,0
1756090806416000000,-9223372036854775808,0,9223372036854775807,0
1756090806516000000,-9223372036854775808,0,9223372036854775807,0
1756090806516000000,-9223372036854775808,0,9223372036854775807,0
1756090806616000000,-9223372036854775808,0,9223372036854775807,0
1756090806616000000,-9223372036854775808,0,9223372036854775807,0
1756090806616000000,-9223372036854775808,0,9223372036854775807,0
1756090806616000000,-9223372036854775808,0,9223372036854775807,0
1756090806616000000,-9223372036854775808,0,9223372036854775807,0
