ts_ns,type,side,price,qty
1756090817324000000,book,A,113451.71,0.04122
1756090817424000000,book,A,113451.7,0.59379
1756090817424000000,book,A,113451.72,0.0
1756090817524000000,book,B,113231.62,0.11762
1756090817524000000,book,B,113231.55,0.0
1756090817524000000,book,B,113152.45,0.0
1756090817524000000,book,A,113451.69,0.04129
1756090817524000000,book,A,113451.73,0.0
1756090817624000000,book,A,113451.68,0.59379
1756090817624000000,book,A,113451.7,0.0
1756090817824000000,book,B,113231.63,0.04
1756090817824000000,book,A,113451.67,0.04129
1756090817824000000,book,A,113451.69,0.0
1756090817924000000,book,B,113231.64,0.11762
1756090817924000000,book,B,113231.62,0.0
1756090817924000000,book,A,113451.66,0.59379
1756090817924000000,book,A,113451.68,0.0
1756090818224000000,book,B,113231.51,0.0
1756090818424000000,book,B,113152.45,0.1224
1756090818424000000,book,B,113152.42,0.0
1756090818424000000,book,A,113451.64,0.21741
1756090818424000000,book,A,113451.65,0.04129
1756090818424000000,book,A,113451.71,0.0
1756090818424000000,book,A,113451.79,0.0
1756090818524000000,book,A,113451.63,0.59379
1756090818524000000,book,A,113451.66,0.0
1756090818825000000,book,B,113231.63,0.0
1756090818825000000,book,A,113451.62,0.0
1756090818825000000,book,A,113451.65,0.0
1756090818825000000,book,A,113451.74,0.0
1756090818925000000,book,B,113231.64,0.0
1756090818925000000,book,B,113231.62,0.11762
1756090818925000000,book,A,113451.63,0.93752
1756090819825000000,book,B,113231.63,0.04
1756090819825000000,book,A,113451.62,0.0
1756090819825000000,book,A,113451.67,0.0
1756090819925000000,book,B,113231.64,0.11762
1756090819925000000,book,B,113231.62,0.0
1756090819925000000,book,A,141574.17,0.00018
1756090820226000000,book,B,113231.57,0.0
1756090820426000000,book,A,141574.17,9e-05
1756090820726000000,book,A,141574.17,0.0
1756090820826000000,book,B,113231.63,0.0
1756090820826000000,book,A,113451.62,0.04129
1756090820926000000,book,B,113231.64,0.0
1756090820926000000,book,B,113231.62,0.11762
1756090820926000000,book,A,113451.6,0.00033
1756090820926000000,book,A,113451.61,0.59379
1756090820926000000,book,A,113451.63,0.34373
1756090820926000000,book,A,113451.81,0.0
1756090821226000000,book,B,113056.79,0.0
1756090821427000000,book,A,113451.6,0.0
1756090821627000000,book,B,113231.63,0.04
1756090821627000000,book,A,113451.6,0.04129
1756090821727000000,book,B,113231.64,0.11762
1756090821727000000,book,B,113231.62,0.0
1756090821727000000,book,A,113451.59,0.59379
1756090821727000000,book,A,113451.61,0.0
1756090822327000000,book,A,113451.58,0.00028
1756090822327000000,book,A,141574.17,9e-05
1756090823028000000,book,A,113451.63,0.0
1756090823128000000,book,A,113451.57,0.34373
1756090823228000000,book,B,113231.65,0.00918
1756090823228000000,book,B,113075.9,0.00442
1756090823228000000,book,B,113056.78,0.01359
1756090823228000000,book,A,113451.56,0.59379
1756090823228000000,book,A,113451.59,0.0
1756090823328000000,book,B,113231.66,0.11762
1756090823328000000,book,B,113231.64,0.0
1756090823428000000,book,B,113231.63,0.0
1756090823428000000,book,A,113451.55,0.04129
1756090823428000000,book,A,113451.6,0.0
1756090823428000000,book,A,113451.62,0.0
1756090823528000000,book,B,113231.67,0.04
1756090823528000000,book,A,113451.54,0.59379
1756090823528000000,book,A,113451.56,0.0
1756090823628000000,book,B,113231.68,0.11762
1756090823628000000,book,B,113231.66,0.0
1756090823928000000,book,A,117999.99,0.001
1756090824329000000,book,B,113152.46,0.1224
1756090824329000000,book,B,113152.45,0.0
1756090824329000000,book,A,113451.53,0.21741
1756090824329000000,book,A,113451.64,0.0
1756090824329000000,book,A,118774.99,0.00399
1756090824429000000,book,A,113451.52,0.59379
1756090824429000000,book,A,113451.54,0.0
1756090824529000000,book,B,113231.69,0.04
1756090824529000000,book,B,113231.67,0.0
1756090824529000000,book,A,113451.51,0.0
1756090824529000000,book,A,113451.55,0.0
1756090824529000000,book,A,141574.17,0.00018
1756090824629000000,book,B,113231.7,0.11762
1756090824629000000,book,B,113231.68,0.0
1756090825029000000,book,A,113451.51,0.00028
1756090825029000000,book,A,113451.58,0.0
1756090825229000000,book,B,113231.61,0.0
1756090825229000000,book,B,113231.59,0.00043
1756090825930000000,book,B,113231.59,0.0
1756090826530000000,book,B,113231.69,0.0
1756090826530000000,book,A,113451.51,0.04157
1756090826630000000,book,B,113231.7,0.0
1756090826630000000,book,B,113231.66,0.11762
1756090826630000000,book,A,113451.5,0.59379
1756090826630000000,book,A,113451.52,0.0
1756090827230000000,book,B,113231.67,0.00753
1756090827230000000,book,B,113152.47,0.00478
1756090827230000000,book,B,113075.91,0.00398
1756090827331000000,book,B,113231.68,0.11762
1756090827331000000,book,B,113231.66,0.0
1756090827431000000,book,A,113451.57,0.0
