strategy,filled_qty,avg_px,notional,fees,signed_cost,pnl_total,max_drawdown,turnover,sharpe_like
twap,0.0,,0.0,0.0,0.0,-554045.5351583118,545249.3317757851,1.0,350.4308130580879
vwap,0.0,,0.0,0.0,0.0,-554043.6351383291,548945.6015424391,1.0,380.12052702049766
pov,0.0,,0.0,0.0,0.0,-265921.00461364974,260387.96610728453,1.0,327.30878014615666
iceberg,0.0,,0.0,0.0,0.0,-553708.7629337948,532008.7930963596,1.0,279.7777729277273
