ts,ts_ns,mid,inventory,cash,realized,unrealized,equity
2025-08-26 08:07:03+00:00,1756195623000000000,110119.5,,,,,
2025-08-26 08:07:04+00:00,1756195624000000000,124027.745,,,,,
2025-08-26 08:07:05+00:00,1756195625000000000,110313.74,0.05,-5526.5025795,0.0,-9.710499999999593,-5536.158595890012
2025-08-26 08:07:06+00:00,1756195626000000000,110313.72,0.1,-11053.0011582,0.0,-19.419000000000235,-11072.315190980025
2025-08-26 08:07:07+00:00,1756195627000000000,110313.715,0.15000000000000002,-16579.499236800002,0.0,-29.12674999999945,-16608.47103597004
2025-08-26 08:07:08+00:00,1756195628000000000,110313.715,0.2,-22105.997315400004,0.0,-38.833999999999655,-22144.626380960057
2025-08-26 08:07:09+00:00,1756195629000000000,110313.715,0.25,-27632.495394000005,0.0,-48.54125000000204,-27680.78172595007
2025-08-26 08:07:10+00:00,1756195630000000000,110313.73,0.3,-33158.9939727,0.0,-58.244500000003605,-33216.93307104008
2025-08-26 08:07:11+00:00,1756195631000000000,110313.74,0.35,-38685.4915512,0.0,-67.94700000000084,-38753.08366593009
2025-08-26 08:07:12+00:00,1756195632000000000,110313.74,0.39999999999999997,-44211.9891297,0.0,-77.65250000000232,-44289.2372608201
2025-08-26 08:07:13+00:00,1756195633000000000,110313.74,0.44999999999999996,-49738.4867082,0.0,-87.35800000000962,-49825.39085571011
2025-08-26 08:07:14+00:00,1756195634000000000,110313.75,0.49999999999999994,-55264.9842867,0.0,-97.05850000001372,-55361.539450600125
2025-08-26 08:07:15+00:00,1756195635000000000,110313.785,0.5499999999999999,-60791.481865199996,0.0,-106.74425000001064,-60897.67329549013
2025-08-26 08:07:16+00:00,1756195636000000000,110313.74,0.6,-66317.9784435,0.0,-116.47350000001606,-66433.85064018016
2025-08-26 08:07:17+00:00,1756195637000000000,110313.76,0.65,-71844.4745217,0.0,-126.16450000002224,-71969.98973477018
2025-08-26 08:07:18+00:00,1756195638000000000,110313.8,0.7000000000000001,-77370.9705999,0.0,-135.83950000001497,-77506.11282936018
2025-08-26 08:07:19+00:00,1756195639000000000,110313.79,0.7500000000000001,-82897.466178,0.0,-145.54750000000425,-83042.2689238502
2025-08-26 08:07:20+00:00,1756195640000000000,110313.78,0.8000000000000002,-88423.9607559,0.0,-155.25550000000516,-88578.4250181402
2025-08-26 08:07:21+00:00,1756195641000000000,110313.795,0.8500000000000002,-93950.456334,0.0,-164.9442499999947,-94114.56186263022
2025-08-26 08:07:22+00:00,1756195642000000000,110313.775,0.9000000000000002,-99476.9489115,0.0,-174.65999999998607,-99650.72570652024
2025-08-26 08:07:23+00:00,1756195643000000000,110313.755,0.9500000000000003,-105003.4384884,0.0,-184.37474999997582,-105186.88854981025
2025-08-26 08:07:24+00:00,1756195644000000000,110313.72,1.0000000000000002,-110529.9240645,0.0,-194.1024999999791,-110723.06439230025
2025-08-26 08:07:25+00:00,1756195645000000000,110313.745,1.0500000000000003,-116056.411641,0.0,-203.77274999998485,-116259.18273519028
2025-08-26 08:07:26+00:00,1756195646000000000,110313.715,1.1000000000000003,-121582.8952167,0.0,-213.49699999999874,-121795.35507728028
2025-08-26 08:07:27+00:00,1756195647000000000,110313.715,1.1500000000000004,-127109.3782923,0.0,-223.18924999997697,-127331.4954192703
2025-08-26 08:07:28+00:00,1756195648000000000,110313.705,1.1548000000000003,-127639.920619548,0.0,-224.13120599996984,-127862.97639209173
2025-08-26 08:07:29+00:00,1756195649000000000,110313.695,1.2048000000000003,-133166.401194648,0.0,-233.83350399995768,-133399.12678158176
2025-08-26 08:07:30+00:00,1756195650000000000,110313.685,1.2093000000000003,-133663.78431138,0.0,-234.71762949997404,-133897.39123528884
2025-08-26 08:07:31+00:00,1756195651000000000,110313.655,1.2593000000000003,-139190.25888528,0.0,-244.44065849995536,-139433.56235457887
2025-08-26 08:07:32+00:00,1756195652000000000,110313.62,1.2638000000000003,-139687.64128186798,0.0,-245.35638399998518,-139931.85840814194
2025-08-26 08:07:33+00:00,1756195653000000000,110313.595,1.3138000000000003,-145214.10985456797,0.0,-255.07172899996374,-145468.02184223194
2025-08-26 08:07:34+00:00,1756195654000000000,110313.555,1.3638000000000003,-150740.57442646797,0.0,-264.8060309999699,-151004.20423252197
2025-08-26 08:07:35+00:00,1756195655000000000,110313.54,1.3683000000000003,-151237.95592287596,0.0,-265.6975979999667,-151502.47612740507
2025-08-26 08:07:36+00:00,1756195656000000000,110313.57,1.4183000000000003,-156764.41699407596,0.0,-275.3340489999431,-157038.56066599506
2025-08-26 08:07:37+00:00,1756195657000000000,110313.565,1.4683000000000004,-162290.87806527596,0.0,-285.0188904999476,-162574.69359508506
2025-08-26 08:07:38+00:00,1756195658000000000,110313.56,1.5183000000000004,-167817.33713607595,0.0,-294.70223199993944,-168110.82502377508
2025-08-26 08:07:39+00:00,1756195659000000000,110313.595,1.5683000000000005,-173343.79520667595,0.0,-304.32234149991996,-173646.89322026508
2025-08-26 08:07:40+00:00,1756195660000000000,110313.63,1.6183000000000005,-178870.25327727594,0.0,-313.9389509999167,-179182.95791675508
2025-08-26 08:07:41+00:00,1756195661000000000,110313.605,1.6683000000000006,-184396.71034767595,0.0,-323.65115849995567,-184719.11821104513
2025-08-26 08:07:42+00:00,1756195662000000000,110313.62,1.7183000000000006,-189923.16741807596,0.0,-333.29713399994824,-190255.21227333514
2025-08-26 08:07:43+00:00,1756195663000000000,110313.645,1.7683000000000006,-195449.62348827595,0.0,-342.92292649994164,-195791.28615242513
2025-08-26 08:07:44+00:00,1756195664000000000,110313.67,1.8183000000000007,-200976.07855827594,0.0,-352.5452189999471,-201327.35653131516
2025-08-26 08:07:45+00:00,1756195665000000000,110313.705,1.8683000000000007,-206502.53362827594,0.0,-362.14632849992836,-206863.40572720516
2025-08-26 08:07:46+00:00,1756195666000000000,110313.74,1.9183000000000008,-212028.98869827593,0.0,-371.7439379999233,-212399.45142309516
2025-08-26 08:07:47+00:00,1756195667000000000,110313.76,1.9683000000000008,-217555.44276807594,0.0,-381.3665719999389,-217935.5221432852
2025-08-26 08:07:48+00:00,1756195668000000000,110313.795,2.018300000000001,-223081.89683787595,0.0,-390.9569314999044,-223471.5605889752
2025-08-26 08:07:49+00:00,1756195669000000000,110313.83,2.0683000000000007,-228608.35090767595,0.0,-400.5437909998992,-229007.59553466522
2025-08-26 08:07:50+00:00,1756195670000000000,110313.85,2.1183000000000005,-234134.80397727597,0.0,-410.15792499993216,-234543.65775465523
2025-08-26 08:07:51+00:00,1756195671000000000,110313.885,2.1683000000000003,-239661.25704687598,0.0,-419.7375344999713,-240079.68545014528
2025-08-26 08:07:52+00:00,1756195672000000000,110313.92,2.2183,-245187.70911627598,0.0,-429.3126439999888,-245615.70864543528
2025-08-26 08:07:53+00:00,1756195673000000000,110313.95,2.2683,-250714.16118567597,0.0,-438.89559500002383,-251151.7396822253
2025-08-26 08:07:54+00:00,1756195674000000000,110313.98,2.3183,-256240.61225487597,0.0,-448.47454600001936,-256687.7667188153
2025-08-26 08:07:55+00:00,1756195675000000000,110313.975,2.3682999999999996,-261767.062323876,0.0,-458.1323875000249,-262223.8726457053
2025-08-26 08:07:56+00:00,1756195676000000000,110313.99,2.4182999999999995,-267293.50989237597,0.0,-467.73986300005726,-267759.9282060953
2025-08-26 08:07:57+00:00,1756195677000000000,110314.025,2.4682999999999993,-272819.957460876,0.0,-477.29647250012954,-273295.93290048535
2025-08-26 08:07:58+00:00,1756195678000000000,110314.025,2.518299999999999,-278346.405029376,0.0,-486.93772250015974,-278832.02223537536
