ts_ns,bid_px,bid_qty,ask_px,ask_qty
1756086289764000000,-9223372036854775808,0,9223372036854775807,0
1756086289764000000,-9223372036854775808,0,9223372036854775807,0
1756086290465000000,-9223372036854775808,0,9223372036854775807,0
1756086290465000000,-9223372036854775808,0,9223372036854775807,0
1756086290565000000,-9223372036854775808,0,9223372036854775807,0
1756086290565000000,-9223372036854775808,0,9223372036854775807,0
1756086290665000000,-9223372036854775808,0,9223372036854775807,0
1756086290665000000,-9223372036854775808,0,9223372036854775807,0
1756086290965000000,-9223372036854775808,0,9223372036854775807,0
1756086290965000000,-9223372036854775808,0,9223372036854775807,0
1756086291065000000,-9223372036854775808,0,9223372036854775807,0
1756086291065000000,-9223372036854775808,0,9223372036854775807,0
1756086291065000000,-9223372036854775808,0,9223372036854775807,0
1756086291065000000,-9223372036854775808,0,9223372036854775807,0
1756086291165000000,-9223372036854775808,0,9223372036854775807,0
1756086291165000000,-9223372036854775808,0,9223372036854775807,0
1756086291766000000,-9223372036854775808,0,9223372036854775807,0
1756086291866000000,-9223372036854775808,0,9223372036854775807,0
1756086291966000000,-9223372036854775808,0,9223372036854775807,0
1756086291966000000,-9223372036854775808,0,9223372036854775807,0
1756086291966000000,-9223372036854775808,0,9223372036854775807,0
1756086292266000000,-9223372036854775808,0,9223372036854775807,0
1756086292266000000,-9223372036854775808,0,9223372036854775807,0
1756086292266000000,-9223372036854775808,0,9223372036854775807,0
1756086292266000000,-9223372036854775808,0,9223372036854775807,0
1756086292366000000,-9223372036854775808,0,9223372036854775807,0
1756086292366000000,-9223372036854775808,0,9223372036854775807,0
1756086292366000000,-9223372036854775808,0,9223372036854775807,0
1756086292366000000,-9223372036854775808,0,9223372036854775807,0
1756086292867000000,-9223372036854775808,0,9223372036854775807,0
1756086292867000000,-9223372036854775808,0,9223372036854775807,0
1756086292867000000,-9223372036854775808,0,9223372036854775807,0
1756086292967000000,-9223372036854775808,0,9223372036854775807,0
1756086292967000000,-9223372036854775808,0,9223372036854775807,0
1756086292967000000,-9223372036854775808,0,9223372036854775807,0
1756086293067000000,-9223372036854775808,0,9223372036854775807,0
1756086293067000000,-9223372036854775808,0,9223372036854775807,0
1756086293067000000,-9223372036854775808,0,9223372036854775807,0
1756086293467000000,-9223372036854775808,0,9223372036854775807,0
1756086293667000000,-9223372036854775808,0,9223372036854775807,0
1756086293767000000,-9223372036854775808,0,9223372036854775807,0
1756086293767000000,-9223372036854775808,0,9223372036854775807,0
1756086293867000000,-9223372036854775808,0,9223372036854775807,0
1756086293867000000,-9223372036854775808,0,9223372036854775807,0
1756086293967000000,-9223372036854775808,0,9223372036854775807,0
1756086293967000000,-9223372036854775808,0,9223372036854775807,0
1756086293967000000,-9223372036854775808,0,9223372036854775807,0
1756086293967000000,-9223372036854775808,0,9223372036854775807,0
1756086294068000000,-9223372036854775808,0,9223372036854775807,0
1756086294068000000,-9223372036854775808,0,9223372036854775807,0
1756086294968000000,-9223372036854775808,0,9223372036854775807,0
1756086294968000000,-9223372036854775808,0,9223372036854775807,0
1756086294968000000,-9223372036854775808,0,9223372036854775807,0
1756086294968000000,-9223372036854775808,0,9223372036854775807,0
1756086295068000000,-9223372036854775808,0,9223372036854775807,0
1756086295068000000,-9223372036854775808,0,9223372036854775807,0
1756086295068000000,-9223372036854775808,0,9223372036854775807,0
1756086295469000000,-9223372036854775808,0,9223372036854775807,0
1756086295469000000,-9223372036854775808,0,9223372036854775807,0
1756086295469000000,-9223372036854775808,0,9223372036854775807,0
1756086295569000000,-9223372036854775808,0,9223372036854775807,0
1756086295569000000,-9223372036854775808,0,9223372036854775807,0
1756086295869000000,-9223372036854775808,0,9223372036854775807,0
1756086295869000000,-9223372036854775808,0,9223372036854775807,0
1756086295869000000,-9223372036854775808,0,9223372036854775807,0
1756086295969000000,-9223372036854775808,0,9223372036854775807,0
1756086295969000000,-9223372036854775808,0,9223372036854775807,0
1756086295969000000,-9223372036854775808,0,9223372036854775807,0
1756086295969000000,-9223372036854775808,0,9223372036854775807,0
1756086295969000000,-9223372036854775808,0,9223372036854775807,0
1756086296870000000,-9223372036854775808,0,9223372036854775807,0
1756086296970000000,-9223372036854775808,0,9223372036854775807,0
1756086296970000000,-9223372036854775808,0,9223372036854775807,0
1756086296970000000,-9223372036854775808,0,9223372036854775807,0
1756086297070000000,-9223372036854775808,0,9223372036854775807,0
1756086297070000000,-9223372036854775808,0,9223372036854775807,0
1756086297170000000,-9223372036854775808,0,9223372036854775807,0
1756086297270000000,-9223372036854775808,0,9223372036854775807,0
1756086297270000000,-9223372036854775808,0,9223372036854775807,0
1756086297770000000,-9223372036854775808,0,9223372036854775807,0
1756086298171000000,-9223372036854775808,0,9223372036854775807,0
1756086298171000000,-9223372036854775808,0,9223372036854775807,0
1756086298171000000,-9223372036854775808,0,9223372036854775807,0
1756086298171000000,-9223372036854775808,0,9223372036854775807,0
1756086298171000000,-9223372036854775808,0,9223372036854775807,0
1756086298171000000,-9223372036854775808,0,9223372036854775807,0
1756086298271000000,-9223372036854775808,0,9223372036854775807,0
1756086298271000000,-9223372036854775808,0,9223372036854775807,0
1756086298271000000,-9223372036854775808,0,9223372036854775807,0
1756086298271000000,-9223372036854775808,0,9223372036854775807,0
1756086298671000000,-9223372036854775808,0,9223372036854775807,0
1756086298771000000,-9223372036854775808,0,9223372036854775807,0
1756086298771000000,-9223372036854775808,0,9223372036854775807,0
1756086299171000000,-9223372036854775808,0,9223372036854775807,0
1756086299171000000,-9223372036854775808,0,9223372036854775807,0
1756086299271000000,-9223372036854775808,0,9223372036854775807,0
1756086299271000000,-9223372036854775808,0,9223372036854775807,0
1756086299271000000,-9223372036854775808,0,9223372036854775807,0
1756086299271000000,-9223372036854775808,0,9223372036854775807,0
1756086299571000000,-9223372036854775808,0,9223372036854775807,0
1756086299571000000,-9223372036854775808,0,9223372036854775807,0
1756086299672000000,-9223372036854775808,0,9223372036854775807,0
1756086299672000000,-9223372036854775808,0,9223372036854775807,0
1756086300172000000,-9223372036854775808,0,9223372036854775807,0
1756086300172000000,-9223372036854775808,0,9223372036854775807,0
1756086300272000000,-9223372036854775808,0,9223372036854775807,0
1756086300272000000,-9223372036854775808,0,9223372036854775807,0
1756086300272000000,-9223372036854775808,0,9223372036854775807,0
1756086300672000000,-9223372036854775808,0,9223372036854775807,0
1756086300772000000,-9223372036854775808,0,9223372036854775807,0
1756086300772000000,-9223372036854775808,0,9223372036854775807,0
1756086300772000000,-9223372036854775808,0,9223372036854775807,0
1756086300772000000,-9223372036854775808,0,9223372036854775807,0
1756086300872000000,-9223372036854775808,0,9223372036854775807,0
1756086300872000000,-9223372036854775808,0,9223372036854775807,0
1756086301173000000,-9223372036854775808,0,9223372036854775807,0
1756086301173000000,-9223372036854775808,0,9223372036854775807,0
1756086301173000000,-9223372036854775808,0,9223372036854775807,0
1756086301273000000,-9223372036854775808,0,9223372036854775807,0
1756086301273000000,-9223372036854775808,0,9223372036854775807,0
1756086301273000000,-9223372036854775808,0,9223372036854775807,0
1756086301273000000,-9223372036854775808,0,9223372036854775807,0
1756086301373000000,-9223372036854775808,0,9223372036854775807,0
1756086301373000000,-9223372036854775808,0,9223372036854775807,0
1756086301473000000,-9223372036854775808,0,9223372036854775807,0
1756086301573000000,-9223372036854775808,0,9223372036854775807,0
1756086301573000000,-9223372036854775808,0,9223372036854775807,0
1756086302273000000,-9223372036854775808,0,9223372036854775807,0
1756086302273000000,-9223372036854775808,0,9223372036854775807,0
1756086302273000000,-9223372036854775808,0,9223372036854775807,0
1756086302273000000,-9223372036854775808,0,9223372036854775807,0
1756086302373000000,-9223372036854775808,0,9223372036854775807,0
1756086302373000000,-9223372036854775808,0,9223372036854775807,0
1756086302373000000,-9223372036854775808,0,9223372036854775807,0
1756086302373000000,-9223372036854775808,0,9223372036854775807,0
1756086302674000000,-9223372036854775808,0,9223372036854775807,0
1756086302774000000,-9223372036854775808,0,9223372036854775807,0
1756086302774000000,-9223372036854775808,0,9223372036854775807,0
1756086303074000000,-9223372036854775808,0,9223372036854775807,0
1756086303374000000,-9223372036854775808,0,9223372036854775807,0
1756086303574000000,-9223372036854775808,0,9223372036854775807,0
1756086303574000000,-9223372036854775808,0,9223372036854775807,0
1756086303574000000,-9223372036854775808,0,9223372036854775807,0
1756086303574000000,-9223372036854775808,0,9223372036854775807,0
